no_of_dependents,income_annum,loan_amount,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,scaled_loan_term
5,7500000,20800000,617,100000,14200000,19300000,8200000,7.222222222222222
0,800000,2300000,739,1800000,600000,2000000,400000,12.777777777777779
5,9700000,36400000,544,3500000,15000000,31300000,5200000,12.777777777777779
3,300000,1000000,469,600000,400000,700000,300000,10.555555555555555
1,2500000,5900000,668,7400000,600000,6300000,3700000,10.555555555555555
3,2700000,10600000,840,500000,3000000,9000000,1900000,8.333333333333334
2,2300000,9100000,610,3700000,600000,7800000,3400000,15.0
5,8500000,25800000,786,13900000,11000000,32400000,11300000,11.666666666666668
5,9200000,28000000,527,18700000,7700000,24400000,6400000,8.333333333333334
0,1500000,5600000,604,2000000,2400000,4400000,1800000,13.88888888888889
5,9400000,23200000,885,16900000,1200000,34900000,4700000,11.666666666666668
5,5400000,21200000,734,7300000,1800000,11500000,7500000,15.0
3,6200000,14600000,664,18300000,8400000,16800000,6600000,5.0
0,4300000,12800000,572,8600000,2200000,11000000,6100000,15.0
5,2700000,8700000,687,2600000,1200000,9000000,1300000,15.0
4,9400000,20200000,803,24800000,1000000,34400000,4800000,9.444444444444445
1,8800000,22200000,794,8400000,11900000,21000000,10500000,13.88888888888889
1,6300000,22000000,646,9500000,7900000,13500000,5500000,15.0
4,2000000,5200000,724,5200000,3800000,4600000,2800000,12.777777777777779
0,8000000,29800000,736,600000,15700000,30800000,8400000,10.555555555555555
2,400000,1500000,743,700000,500000,1200000,300000,6.111111111111111
2,3400000,10300000,745,4900000,4000000,10000000,3900000,6.111111111111111
3,8600000,23600000,324,13800000,3800000,28500000,4300000,6.111111111111111
1,9500000,24400000,696,25500000,6700000,29500000,6300000,11.666666666666668
4,2200000,7800000,633,0,3900000,8400000,1900000,15.0
1,9000000,22800000,412,0,15600000,32000000,4700000,9.444444444444445
3,7800000,15900000,665,14400000,900000,27200000,5400000,5.0
5,4000000,15500000,517,0,600000,12100000,3500000,10.555555555555555
3,8300000,27700000,596,20500000,15400000,21400000,7400000,6.111111111111111
4,7800000,28500000,803,15500000,11300000,21100000,9800000,6.111111111111111
0,600000,1800000,796,1000000,700000,1200000,500000,13.88888888888889
4,7900000,26900000,446,17900000,7300000,16500000,8200000,11.666666666666668
0,900000,3500000,331,2400000,1400000,3500000,1100000,7.222222222222222
0,8000000,23700000,305,22200000,11600000,17200000,12000000,9.444444444444445
0,8700000,30200000,447,14200000,14800000,28200000,6100000,9.444444444444445
4,9900000,28400000,763,23700000,12700000,35800000,5800000,9.444444444444445
3,1400000,3200000,753,2200000,2000000,3600000,2000000,8.333333333333334
0,800000,2200000,782,1300000,800000,2800000,600000,15.0
3,6400000,24400000,483,7800000,2400000,19100000,4500000,6.111111111111111
3,6600000,14600000,841,15300000,12100000,14800000,6000000,9.444444444444445
4,3400000,8300000,567,5700000,1900000,10200000,2700000,5.0
5,9000000,21300000,602,3400000,7700000,35400000,11000000,11.666666666666668
1,500000,1800000,877,100000,200000,1100000,600000,8.333333333333334
5,2200000,7200000,532,2700000,300000,7500000,1600000,9.444444444444445
1,6200000,23100000,838,9100000,1400000,23500000,7000000,12.777777777777779
2,1000000,2500000,551,1700000,200000,3700000,900000,7.222222222222222
4,5500000,18600000,569,13500000,6200000,19700000,7300000,10.555555555555555
5,3400000,13100000,527,900000,4500000,8600000,4000000,15.0
2,400000,1400000,480,200000,700000,1600000,200000,5.0
0,7000000,14000000,702,9000000,3100000,21400000,7600000,6.111111111111111
2,5700000,21300000,323,1600000,11200000,16200000,5100000,9.444444444444445
2,900000,2500000,458,-100000,100000,3200000,1100000,12.777777777777779
1,7600000,24600000,810,1300000,10500000,30300000,5200000,10.555555555555555
1,4700000,14800000,661,8500000,6000000,13600000,6400000,7.222222222222222
5,6500000,13400000,787,18200000,300000,16200000,5400000,13.88888888888889
5,8000000,27200000,348,6400000,300000,16700000,7100000,7.222222222222222
3,2600000,6300000,783,6500000,2400000,6500000,2600000,9.444444444444445
4,2900000,8900000,827,400000,3400000,11200000,1600000,13.88888888888889
3,600000,2400000,884,600000,800000,1400000,600000,10.555555555555555
5,8700000,33000000,678,22500000,14800000,29200000,4300000,6.111111111111111
5,4500000,16900000,455,2700000,2500000,10700000,5600000,13.88888888888889
2,6800000,21300000,658,7800000,7000000,25900000,9600000,15.0
1,4400000,10700000,324,2200000,3300000,12700000,5400000,13.88888888888889
4,4600000,16600000,805,4800000,8000000,11500000,2800000,12.777777777777779
2,8700000,22700000,365,8200000,14800000,30200000,7200000,6.111111111111111
1,1000000,3200000,888,2000000,1500000,2200000,1300000,6.111111111111111
0,8000000,31000000,847,4900000,9500000,29600000,5700000,8.333333333333334
5,3300000,10000000,489,2000000,500000,7200000,2800000,10.555555555555555
4,9200000,27200000,873,4500000,1800000,33800000,11400000,10.555555555555555
3,2800000,5900000,461,1600000,400000,8900000,2800000,6.111111111111111
1,8400000,30900000,378,18600000,1000000,25900000,11100000,8.333333333333334
0,6900000,23500000,621,7800000,7300000,23100000,9400000,5.0
1,5100000,11800000,314,14700000,7600000,12400000,4900000,10.555555555555555
0,6000000,20600000,339,3400000,10700000,17200000,8200000,10.555555555555555
0,1400000,3200000,384,3100000,800000,3400000,2000000,11.666666666666668
1,4700000,14000000,411,4600000,5100000,10600000,3700000,5.0
5,5700000,12900000,807,4100000,900000,18600000,5500000,13.88888888888889
0,2700000,9700000,551,1300000,1300000,7100000,1600000,15.0
5,9200000,18900000,521,8300000,14500000,23400000,6900000,9.444444444444445
0,7000000,20900000,380,11800000,10800000,21100000,6200000,15.0
2,6400000,19300000,414,7200000,1800000,19100000,3900000,7.222222222222222
2,9100000,24200000,685,25600000,1900000,31100000,9100000,12.777777777777779
1,6000000,23300000,672,2000000,11300000,19600000,6400000,10.555555555555555
4,9700000,36400000,772,13800000,11300000,38100000,13500000,6.111111111111111
5,8000000,30000000,549,14800000,200000,17300000,7000000,11.666666666666668
2,2200000,6800000,546,4600000,200000,4500000,2200000,15.0
3,500000,1000000,501,800000,800000,900000,200000,15.0
5,300000,700000,586,0,400000,1000000,100000,9.444444444444445
2,8300000,20800000,667,19300000,4100000,25400000,6800000,7.222222222222222
5,4900000,13000000,865,13300000,3700000,14700000,6500000,9.444444444444445
4,9200000,29100000,731,14500000,8300000,35800000,5000000,9.444444444444445
4,4100000,10400000,727,11900000,5900000,16400000,4400000,10.555555555555555
2,2800000,11000000,525,8200000,1800000,5800000,2400000,12.777777777777779
5,5600000,17600000,448,6700000,3500000,18900000,6800000,11.666666666666668
1,8700000,34000000,663,5400000,10700000,17800000,8100000,12.777777777777779
4,3900000,14300000,477,1000000,4600000,9100000,2900000,15.0
5,1000000,2300000,423,1700000,700000,2900000,1400000,12.777777777777779
0,6800000,21700000,730,17500000,1300000,18600000,3600000,15.0
4,7400000,18300000,601,16400000,12600000,28800000,6100000,9.444444444444445
4,6500000,24000000,373,5600000,5100000,15600000,6700000,12.777777777777779
2,9100000,21700000,549,25500000,11000000,34700000,12200000,10.555555555555555
3,3700000,12700000,587,11000000,3100000,8800000,4100000,13.88888888888889
3,5600000,18700000,769,8000000,8200000,17300000,4800000,5.0
5,6500000,21600000,419,1600000,10900000,22300000,6600000,9.444444444444445
1,8800000,18500000,704,14400000,3200000,26600000,11300000,9.444444444444445
4,9100000,26600000,812,23300000,11900000,33100000,10400000,5.0
0,2900000,10800000,694,6400000,200000,10600000,2100000,15.0
0,3000000,9600000,620,7900000,0,8600000,3600000,10.555555555555555
0,8700000,33600000,751,7100000,13700000,22800000,7000000,11.666666666666668
5,6400000,18300000,697,10000000,3600000,22500000,3600000,8.333333333333334
0,3200000,11600000,393,4700000,300000,8000000,3100000,6.111111111111111
1,900000,1700000,464,1300000,0,1900000,700000,13.88888888888889
2,4700000,12500000,375,1300000,6300000,10100000,5400000,11.666666666666668
4,3400000,10500000,543,3100000,4500000,11100000,4500000,12.777777777777779
2,3500000,8100000,589,3800000,6700000,12500000,2700000,6.111111111111111
1,400000,1400000,468,700000,0,1500000,400000,10.555555555555555
3,4800000,14200000,547,10400000,700000,9800000,2400000,10.555555555555555
0,8600000,23000000,678,18800000,16400000,22900000,12000000,11.666666666666668
4,9500000,22600000,433,10000000,900000,23100000,13400000,11.666666666666668
1,7800000,25100000,766,6900000,7200000,16600000,10200000,13.88888888888889
0,5900000,23300000,581,2200000,8100000,14900000,5800000,12.777777777777779
1,8500000,26200000,811,22800000,6400000,32500000,12700000,8.333333333333334
1,5200000,11200000,370,9900000,10200000,16700000,6400000,5.0
4,6300000,17600000,612,16000000,3300000,23500000,3200000,7.222222222222222
4,4400000,16400000,513,5400000,7500000,13100000,5700000,7.222222222222222
5,1400000,2700000,320,900000,2500000,2700000,2000000,12.777777777777779
2,3500000,12000000,476,1100000,6800000,12400000,2900000,11.666666666666668
1,4100000,10300000,364,9500000,6100000,14900000,2800000,10.555555555555555
4,700000,2400000,705,0,100000,2000000,700000,11.666666666666668
2,6900000,16500000,785,19600000,8600000,27100000,3600000,12.777777777777779
2,3700000,10900000,788,1700000,700000,12200000,2600000,10.555555555555555
0,5500000,18200000,332,8100000,4000000,16400000,5600000,6.111111111111111
0,6900000,22100000,303,13600000,4600000,22000000,6900000,15.0
4,5900000,17300000,657,1500000,5600000,13000000,4100000,15.0
0,7600000,26500000,515,6200000,14900000,22000000,4000000,7.222222222222222
0,2700000,6800000,796,700000,4200000,7000000,1900000,15.0
2,2600000,7600000,400,6800000,2800000,10100000,3200000,9.444444444444445
5,1100000,3600000,315,1300000,700000,3100000,1400000,10.555555555555555
5,4000000,13900000,530,6000000,5600000,12500000,6000000,7.222222222222222
3,6100000,14800000,492,6700000,3500000,17900000,6100000,9.444444444444445
4,5800000,12000000,811,9400000,8800000,14200000,3100000,10.555555555555555
2,1700000,3500000,854,5000000,2400000,3400000,1700000,9.444444444444445
2,7200000,23900000,559,4200000,12200000,17800000,10800000,6.111111111111111
1,600000,2000000,326,400000,1000000,2400000,700000,9.444444444444445
1,5600000,21000000,552,3200000,6300000,22100000,6100000,5.0
2,5500000,14800000,364,13000000,4500000,12600000,4500000,8.333333333333334
3,5800000,20600000,434,8400000,2700000,22600000,7000000,15.0
1,9700000,34300000,756,15700000,18500000,26800000,14100000,15.0
1,1400000,3300000,306,3200000,800000,2700000,800000,8.333333333333334
1,5500000,12100000,350,6300000,9200000,17200000,6900000,6.111111111111111
2,6000000,13900000,533,3000000,9600000,14600000,4100000,6.111111111111111
4,4100000,13100000,772,11200000,4200000,10500000,3800000,11.666666666666668
3,4100000,15500000,667,2800000,1600000,14700000,4000000,7.222222222222222
4,2700000,10400000,671,6100000,3700000,5600000,4000000,12.777777777777779
5,6700000,23200000,672,1600000,6700000,20800000,5400000,13.88888888888889
2,7100000,27000000,430,20700000,8300000,24500000,4200000,9.444444444444445
4,6200000,16200000,734,8800000,4000000,14600000,4400000,15.0
4,8500000,18600000,597,16600000,3200000,21000000,11600000,9.444444444444445
3,9200000,27100000,306,5800000,11500000,28000000,9600000,10.555555555555555
1,7500000,19900000,669,1800000,8800000,18100000,7300000,9.444444444444445
3,4100000,10600000,475,5400000,4300000,13900000,4500000,11.666666666666668
5,6200000,12800000,539,5600000,9800000,22300000,4800000,5.0
4,4900000,10200000,370,10900000,2200000,13700000,6600000,13.88888888888889
2,8800000,26700000,696,12900000,15300000,20300000,10900000,12.777777777777779
2,7800000,17100000,351,19000000,7200000,19300000,7100000,11.666666666666668
5,7600000,15400000,576,2300000,2800000,24500000,4700000,11.666666666666668
3,4900000,12800000,653,7300000,1000000,13000000,7200000,11.666666666666668
3,2400000,5900000,425,1100000,500000,7400000,2500000,5.0
2,8500000,32700000,471,12600000,9400000,33900000,12500000,13.88888888888889
2,1800000,5700000,502,1400000,1100000,4400000,1300000,11.666666666666668
2,3700000,13400000,393,6400000,600000,14200000,3500000,12.777777777777779
5,8000000,27000000,595,4500000,5200000,24800000,10400000,15.0
3,2700000,6100000,630,3900000,2800000,10600000,2300000,11.666666666666668
4,7400000,17500000,540,8800000,7600000,17900000,3600000,6.111111111111111
5,1400000,5300000,778,1600000,700000,4400000,700000,10.555555555555555
1,2300000,6600000,357,5900000,200000,6000000,2200000,5.0
5,200000,400000,822,200000,300000,600000,300000,13.88888888888889
5,4800000,13100000,717,8300000,8900000,18300000,2800000,7.222222222222222
3,2200000,6400000,667,6300000,3900000,8300000,2900000,15.0
4,1200000,3300000,564,2200000,500000,4700000,1100000,5.0
3,9100000,18800000,308,14500000,10200000,20500000,4800000,15.0
5,9600000,20600000,456,17300000,11000000,21700000,11600000,7.222222222222222
5,5800000,13000000,851,6700000,8700000,17700000,4100000,8.333333333333334
1,2300000,8200000,784,2000000,0,7600000,1100000,8.333333333333334
5,7100000,20100000,700,16900000,2900000,15600000,4500000,6.111111111111111
3,9800000,35400000,869,14400000,16400000,22800000,10300000,7.222222222222222
3,2800000,9400000,519,7000000,3500000,7700000,1500000,9.444444444444445
2,8300000,20600000,504,100000,900000,33200000,6700000,9.444444444444445
3,300000,600000,515,300000,200000,1000000,200000,9.444444444444445
5,3500000,9500000,664,9500000,500000,7800000,5200000,6.111111111111111
5,5400000,21100000,661,15800000,10400000,20100000,5400000,10.555555555555555
1,3000000,6800000,541,5800000,5700000,10700000,2900000,9.444444444444445
2,7600000,16700000,692,9900000,9600000,25100000,7400000,15.0
0,2500000,5400000,463,1900000,3500000,8200000,1800000,7.222222222222222
1,7200000,21000000,421,3500000,11600000,21800000,4600000,11.666666666666668
3,1800000,5700000,422,4800000,0,3700000,2300000,5.0
4,4700000,12000000,416,5800000,8200000,13000000,6800000,5.0
1,5100000,12900000,533,6700000,6700000,14400000,3900000,11.666666666666668
4,6600000,25400000,622,9200000,3500000,19900000,7500000,10.555555555555555
0,1000000,3200000,304,500000,600000,3700000,700000,8.333333333333334
3,5200000,17300000,401,2600000,1400000,12700000,6400000,9.444444444444445
4,7400000,17900000,384,13400000,12300000,22400000,4700000,7.222222222222222
3,1600000,5600000,710,3100000,800000,6000000,1600000,7.222222222222222
2,5700000,18100000,491,6800000,100000,17700000,3900000,15.0
5,3600000,11600000,546,8500000,300000,12000000,4800000,11.666666666666668
0,3300000,7700000,775,8200000,2100000,7400000,4200000,10.555555555555555
2,4900000,16000000,710,8700000,7100000,10000000,5700000,10.555555555555555
5,4700000,17400000,523,10600000,7000000,10900000,5200000,5.0
1,1900000,4500000,742,1200000,2000000,4400000,1200000,10.555555555555555
1,3600000,13200000,546,8900000,3600000,13900000,2900000,15.0
4,9800000,23800000,634,12800000,9300000,37600000,6100000,8.333333333333334
0,9100000,30100000,322,26200000,9500000,18800000,5900000,8.333333333333334
3,8300000,29100000,715,6100000,11900000,24100000,11900000,9.444444444444445
3,4300000,16300000,366,6900000,6700000,12300000,5500000,9.444444444444445
4,2200000,7000000,756,3600000,3900000,5700000,1200000,15.0
0,5900000,20300000,806,300000,3700000,16400000,4800000,6.111111111111111
5,6800000,19000000,865,9500000,7200000,25000000,6300000,8.333333333333334
5,800000,2500000,780,500000,900000,1700000,400000,6.111111111111111
1,1600000,5400000,707,600000,1700000,6200000,800000,10.555555555555555
4,3900000,11000000,786,7900000,1600000,10700000,2100000,5.0
1,8700000,31700000,525,7800000,10200000,30300000,6100000,10.555555555555555
5,3300000,7800000,310,3000000,3900000,8300000,4200000,8.333333333333334
4,6900000,14700000,496,12000000,7000000,15500000,4000000,5.0
4,6500000,20200000,653,18600000,1400000,23800000,6400000,10.555555555555555
4,6700000,18800000,749,15600000,7900000,19900000,8600000,5.0
0,2800000,7300000,676,3500000,2200000,5700000,3200000,7.222222222222222
1,6900000,22300000,673,17400000,100000,21300000,9000000,12.777777777777779
2,6600000,21500000,471,13700000,9800000,17100000,4800000,13.88888888888889
5,9800000,27800000,827,2400000,14900000,32800000,9500000,7.222222222222222
1,9000000,33500000,748,7900000,9800000,25700000,11500000,5.0
4,4900000,15900000,668,10800000,8300000,14900000,2800000,9.444444444444445
0,9200000,24700000,438,4800000,16000000,20600000,10700000,11.666666666666668
3,8100000,29300000,413,8100000,15100000,25500000,6400000,5.0
3,8400000,19600000,741,21500000,200000,18700000,8300000,5.0
5,5300000,14600000,855,4200000,1600000,11200000,7400000,12.777777777777779
0,5300000,10600000,828,8100000,6700000,17400000,5800000,5.0
1,9900000,38500000,875,19600000,2900000,20200000,6500000,5.0
0,4700000,15500000,311,12800000,200000,17500000,2700000,12.777777777777779
2,4800000,17500000,381,400000,6900000,13400000,7000000,15.0
5,9900000,35800000,470,9500000,18400000,39100000,14700000,15.0
4,7000000,18900000,475,1300000,6100000,14700000,5200000,7.222222222222222
0,2600000,5100000,678,500000,1200000,6000000,3100000,11.666666666666668
0,1300000,4900000,555,2400000,1200000,4100000,1700000,10.555555555555555
4,7800000,26800000,474,8900000,11200000,18400000,5600000,5.0
5,4400000,17300000,840,3600000,5100000,12900000,2300000,15.0
3,5500000,20400000,546,10600000,8200000,13500000,4000000,9.444444444444445
1,3700000,10900000,748,3700000,2800000,13200000,4100000,11.666666666666668
4,2000000,7500000,857,4300000,1500000,4200000,2100000,11.666666666666668
4,7200000,23100000,632,4600000,8500000,19400000,4400000,10.555555555555555
1,4100000,10000000,891,4900000,300000,12600000,3600000,7.222222222222222
4,5800000,13300000,742,16100000,9300000,16300000,7000000,11.666666666666668
1,1600000,5400000,319,4200000,2200000,4200000,1600000,6.111111111111111
3,9600000,19900000,452,4200000,16200000,28500000,6600000,11.666666666666668
2,5000000,15900000,699,8800000,5900000,18100000,7200000,12.777777777777779
0,4200000,8900000,796,3000000,1600000,13300000,4800000,11.666666666666668
4,4800000,18600000,774,10800000,5800000,12700000,6500000,11.666666666666668
3,5800000,19600000,313,11100000,8100000,22700000,6300000,12.777777777777779
5,4000000,13700000,496,-100000,1400000,15800000,3700000,7.222222222222222
5,2400000,7500000,357,2600000,2900000,6100000,1300000,10.555555555555555
2,2900000,10200000,789,1200000,4100000,6100000,3600000,6.111111111111111
3,4900000,17500000,823,12600000,8700000,14300000,4800000,15.0
5,1300000,4800000,346,3200000,1600000,3400000,1600000,6.111111111111111
3,6900000,16400000,787,11100000,6100000,26400000,3800000,6.111111111111111
2,7000000,19800000,563,3900000,9400000,22800000,8000000,9.444444444444445
2,7000000,24200000,833,13700000,4100000,26100000,9100000,8.333333333333334
5,7300000,17200000,345,6100000,8400000,23200000,4900000,5.0
5,9400000,23100000,762,12400000,10200000,22300000,6600000,7.222222222222222
2,9000000,31000000,670,21300000,5400000,31100000,12900000,11.666666666666668
3,9100000,30100000,564,26600000,7300000,22700000,8200000,11.666666666666668
2,1800000,3800000,777,5100000,2700000,4600000,1400000,6.111111111111111
1,5800000,19500000,431,13800000,5000000,15600000,3300000,15.0
1,200000,300000,697,600000,300000,700000,100000,10.555555555555555
5,200000,400000,722,300000,300000,400000,100000,7.222222222222222
3,5800000,16700000,633,8100000,8400000,14700000,3700000,13.88888888888889
1,4700000,9300000,515,1000000,4700000,14600000,5700000,8.333333333333334
0,5400000,12900000,355,11200000,3100000,18200000,7400000,12.777777777777779
0,700000,1900000,572,1400000,1000000,2000000,300000,13.88888888888889
5,9400000,23700000,862,21500000,3500000,22400000,5600000,13.88888888888889
1,4400000,14200000,409,12700000,1300000,12600000,4500000,12.777777777777779
0,9800000,34100000,760,21500000,9400000,33400000,13600000,15.0
3,7400000,18500000,818,10400000,8800000,28000000,8400000,8.333333333333334
2,2600000,7800000,819,3100000,4300000,5700000,1500000,6.111111111111111
2,4000000,8500000,323,11200000,1000000,14300000,4100000,7.222222222222222
3,7500000,21600000,678,8800000,12100000,20100000,11200000,11.666666666666668
4,8100000,18000000,817,1400000,7800000,16900000,10800000,8.333333333333334
2,7400000,28200000,376,21900000,5000000,17400000,5200000,8.333333333333334
2,7800000,26400000,763,2200000,8400000,16600000,6700000,6.111111111111111
2,700000,2300000,663,700000,500000,2800000,1000000,8.333333333333334
2,9500000,37500000,456,10200000,16800000,34100000,12900000,6.111111111111111
1,2900000,9900000,783,1300000,100000,11000000,2600000,13.88888888888889
4,5400000,15700000,452,13700000,2600000,16500000,6600000,13.88888888888889
1,3400000,7000000,534,3100000,1600000,13000000,4000000,6.111111111111111
3,9200000,27700000,688,4800000,16300000,25800000,11200000,15.0
4,3000000,7200000,680,900000,3400000,9600000,1700000,5.0
1,9900000,38700000,670,19400000,12600000,35800000,6500000,7.222222222222222
3,7800000,27200000,560,3600000,8100000,21800000,8600000,12.777777777777779
0,9400000,20000000,389,16000000,7100000,19400000,10200000,7.222222222222222
1,300000,600000,816,600000,300000,1100000,200000,8.333333333333334
1,6700000,18800000,798,8700000,5900000,18000000,6100000,7.222222222222222
5,3700000,9800000,563,9500000,5100000,11200000,3000000,6.111111111111111
5,8500000,25400000,336,8500000,1200000,30600000,9000000,6.111111111111111
3,8000000,26200000,890,15800000,4300000,25000000,4000000,12.777777777777779
0,2500000,8800000,389,7300000,1400000,8500000,3600000,11.666666666666668
1,2800000,5900000,728,1000000,3200000,10300000,1400000,15.0
4,9800000,21200000,355,22000000,8900000,31800000,14400000,15.0
0,1000000,3200000,854,2600000,800000,2900000,1200000,9.444444444444445
5,4400000,15300000,401,200000,5400000,17500000,2400000,6.111111111111111
0,8000000,30400000,776,16600000,1400000,29100000,7800000,5.0
2,5600000,19100000,350,2700000,1200000,14200000,4200000,8.333333333333334
2,6600000,13100000,885,10900000,4300000,20600000,6200000,15.0
4,1100000,4000000,887,2400000,1500000,4200000,1600000,11.666666666666668
5,1400000,3000000,754,3500000,2700000,5300000,1400000,7.222222222222222
1,4500000,12400000,504,12000000,3200000,13100000,2200000,7.222222222222222
5,9400000,27900000,870,1100000,200000,29500000,10400000,6.111111111111111
5,3600000,12500000,795,10600000,2700000,11100000,4800000,10.555555555555555
0,300000,800000,603,800000,200000,600000,200000,6.111111111111111
0,600000,2300000,319,1600000,800000,2300000,700000,6.111111111111111
4,6000000,12900000,723,700000,1600000,13600000,4100000,11.666666666666668
2,9600000,25900000,647,11800000,9900000,35600000,11500000,13.88888888888889
3,6300000,23900000,656,12700000,9300000,15200000,5100000,12.777777777777779
1,8100000,29600000,672,8200000,5100000,21100000,5400000,6.111111111111111
0,2000000,4900000,570,3800000,300000,6600000,1300000,11.666666666666668
3,4200000,9700000,396,700000,8200000,8600000,4300000,5.0
1,9800000,21300000,356,23000000,12300000,25700000,14600000,5.0
2,6400000,25000000,667,13500000,5500000,25500000,5400000,10.555555555555555
0,4000000,14500000,713,6200000,4900000,12200000,4700000,5.0
0,3100000,10400000,622,1300000,5000000,7200000,1600000,13.88888888888889
3,700000,2200000,617,1600000,400000,2400000,900000,8.333333333333334
3,7100000,27900000,583,8900000,7600000,19600000,6300000,8.333333333333334
5,400000,1400000,483,1100000,700000,800000,100000,6.111111111111111
2,8500000,30900000,664,5700000,9900000,19800000,7400000,7.222222222222222
4,9000000,28900000,637,11300000,1200000,33000000,4800000,7.222222222222222
3,3300000,9800000,360,4500000,600000,11000000,4400000,7.222222222222222
5,7700000,16400000,663,1100000,14800000,15800000,3900000,5.0
3,2000000,4200000,831,1300000,1700000,6900000,1200000,7.222222222222222
5,7000000,24000000,450,10300000,5700000,21100000,4700000,11.666666666666668
4,3400000,11800000,616,5000000,3300000,9900000,2900000,15.0
1,8800000,20200000,627,24200000,16100000,17600000,11900000,7.222222222222222
5,1100000,2700000,889,1900000,1000000,2200000,500000,6.111111111111111
4,6900000,16300000,606,5800000,900000,23700000,3600000,8.333333333333334
0,6400000,14000000,486,5100000,12700000,23900000,3700000,8.333333333333334
2,4300000,14700000,871,4100000,7300000,13900000,4400000,5.0
1,1700000,6000000,754,3900000,1500000,6400000,1800000,12.777777777777779
3,7700000,18100000,736,7800000,14500000,29100000,10000000,15.0
0,9200000,34900000,702,16900000,16000000,24100000,9800000,6.111111111111111
1,7400000,23900000,687,20800000,10900000,26100000,5600000,6.111111111111111
4,6100000,22400000,351,11800000,5000000,24400000,4800000,13.88888888888889
3,8600000,21800000,641,5300000,8800000,24000000,9100000,15.0
0,8500000,17200000,624,6500000,8400000,18600000,5100000,10.555555555555555
5,6200000,16400000,360,900000,7200000,22400000,6300000,7.222222222222222
3,7800000,21800000,517,7700000,5100000,19500000,9100000,8.333333333333334
1,5200000,20700000,612,2200000,2600000,16500000,3200000,10.555555555555555
0,4400000,10800000,463,2400000,4800000,13800000,4700000,11.666666666666668
1,4700000,16000000,406,4000000,5300000,14300000,3300000,11.666666666666668
0,4800000,18600000,618,12300000,5900000,16800000,4000000,7.222222222222222
0,1500000,3600000,747,200000,1400000,3000000,1200000,11.666666666666668
3,3900000,14000000,829,5200000,4000000,11600000,2700000,13.88888888888889
5,1100000,4000000,362,1800000,1300000,3500000,1100000,5.0
3,5600000,20600000,487,6400000,9700000,20200000,4100000,7.222222222222222
4,9800000,29400000,592,29100000,16700000,35900000,9000000,8.333333333333334
3,7100000,25400000,725,20600000,5300000,16000000,8600000,9.444444444444445
3,1600000,6200000,636,3400000,700000,5300000,1400000,13.88888888888889
2,4100000,11100000,390,800000,3100000,10100000,3400000,8.333333333333334
3,700000,2500000,321,1900000,1200000,1700000,400000,8.333333333333334
0,1900000,6300000,811,1100000,100000,5100000,1900000,12.777777777777779
4,7300000,19800000,724,5500000,6000000,29000000,10300000,8.333333333333334
1,5900000,13000000,779,10800000,11600000,13100000,6600000,7.222222222222222
0,9000000,18700000,865,26800000,0,20900000,11300000,13.88888888888889
5,6100000,17800000,849,2900000,10900000,16100000,7800000,7.222222222222222
3,9400000,21900000,685,8100000,5600000,34500000,5000000,12.777777777777779
4,600000,1800000,417,1700000,700000,1800000,800000,8.333333333333334
5,6300000,14800000,608,16100000,10500000,21800000,5400000,7.222222222222222
2,8200000,27200000,839,9200000,6400000,25500000,6000000,9.444444444444445
5,7600000,16500000,534,8900000,10300000,24900000,8300000,8.333333333333334
3,7500000,26000000,342,13900000,1900000,26900000,11200000,5.0
4,3900000,10600000,544,4100000,3100000,10900000,4900000,15.0
4,6100000,21200000,808,700000,7200000,22300000,6100000,7.222222222222222
0,5300000,12900000,826,15500000,6800000,12000000,5200000,15.0
4,4500000,9800000,895,9800000,8200000,13900000,5500000,12.777777777777779
0,9500000,32000000,500,8300000,9700000,24500000,5600000,5.0
1,2100000,6300000,899,2400000,2200000,4400000,2200000,12.777777777777779
3,2800000,10600000,860,5200000,4700000,6700000,2900000,6.111111111111111
3,800000,2500000,828,1700000,0,1500000,700000,10.555555555555555
3,4200000,12500000,375,1300000,5100000,10900000,2400000,15.0
4,5800000,14200000,535,10200000,4000000,21100000,3400000,15.0
0,3400000,9400000,703,600000,6000000,8600000,2600000,7.222222222222222
4,7800000,19500000,739,1900000,9000000,20400000,4400000,11.666666666666668
1,1500000,5900000,400,4200000,2400000,4800000,1500000,12.777777777777779
0,2500000,6900000,471,7100000,4000000,5200000,1500000,10.555555555555555
4,5800000,12800000,656,500000,5000000,16000000,2800000,5.0
4,3500000,8900000,478,4000000,3900000,11300000,3800000,6.111111111111111
3,2200000,5300000,506,1600000,1700000,5800000,2800000,5.0
1,2100000,7300000,826,1600000,3500000,7700000,1400000,12.777777777777779
2,1900000,4600000,631,3200000,2700000,4500000,2700000,12.777777777777779
3,3400000,13200000,783,6500000,300000,13000000,4900000,8.333333333333334
3,5700000,19400000,335,7400000,10600000,20600000,7100000,5.0
1,700000,1400000,759,1000000,500000,2600000,700000,7.222222222222222
3,4700000,17400000,393,12400000,5300000,18700000,5300000,9.444444444444445
2,9900000,33400000,783,16600000,16100000,21000000,9500000,11.666666666666668
3,9000000,33100000,456,23800000,7000000,26000000,7100000,12.777777777777779
3,9100000,27400000,652,8500000,7300000,31700000,6800000,13.88888888888889
2,6300000,24600000,464,7700000,2200000,13000000,6900000,8.333333333333334
